Sequence,ID,Netzbetreiber,VSE-ID,Kategorie,Netznutzung,Energie,Abgabe,KEV,Total exkl. MWST
229,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,C3,6.34,5.3,3.94,2.3,17.88
230,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,C4,9.31108,4.8242,3.94,2.3,20.37528
231,26,Azienda Elettrica Comunale Leggia,10897012345,H1,12.8025,7.0,0.0,2.3,22.1025
232,26,Azienda Elettrica Comunale Leggia,10897012345,H2,10.8,7.0,0.0,2.3,20.1
233,26,Azienda Elettrica Comunale Leggia,10897012345,H3,10.3288888888889,7.0,0.0,2.3,19.6288888888889
234,26,Azienda Elettrica Comunale Leggia,10897012345,H4,10.3288888888889,7.0,0.0,2.3,19.6288888888889
235,26,Azienda Elettrica Comunale Leggia,10897012345,H5,9.09333333333333,7.0,0.0,2.3,18.3933333333333
236,26,Azienda Elettrica Comunale Leggia,10897012345,H6,8.128,7.0,0.0,2.3,17.428
237,26,Azienda Elettrica Comunale Leggia,10897012345,H7,8.30923076923077,7.0,0.0,2.3,17.6092307692308
238,26,Azienda Elettrica Comunale Leggia,10897012345,H8,9.09333333333333,7.0,0.0,2.3,18.3933333333333
239,26,Azienda Elettrica Comunale Leggia,10897012345,C1,9.6275,7.0,0.0,2.3,18.9275
240,26,Azienda Elettrica Comunale Leggia,10897012345,C2,8.25666666666667,7.0,0.0,2.3,17.5566666666667
241,26,Azienda Elettrica Comunale Leggia,10897012345,C3,7.56,7.0,0.0,2.3,16.86
242,26,Azienda Elettrica Comunale Leggia,10897012345,C4,8.836,6.634,0.0,2.3,17.77
243,26,Azienda Elettrica Comunale Leggia,10897012345,C5,8.232,6.634,0.0,2.3,17.166
244,26,Azienda Elettrica Comunale Leggia,10897012345,C6,7.904,6.87,0.0,2.3,17.074
245,26,Azienda Elettrica Comunale Leggia,10897012345,C7,7.5568,6.63696050749834,0.0,2.3,16.4937605074983
246,21,Azienda Elettrica Comunale Mesocco,10968012345,H1,17.79,5.8895,0.0,2.3,25.9795
247,21,Azienda Elettrica Comunale Mesocco,10968012345,H2,13.2,5.15328,0.0,2.3,20.65328
248,21,Azienda Elettrica Comunale Mesocco,10968012345,H3,9.57333333333333,3.76711111111111,0.0,2.3,15.6404444444444
249,21,Azienda Elettrica Comunale Mesocco,10968012345,H4,9.57333333333333,4.65688888888889,0.0,2.3,16.5302222222222
250,21,Azienda Elettrica Comunale Mesocco,10968012345,H5,7.76,3.71978666666667,0.0,2.3,13.7797866666667
251,21,Azienda Elettrica Comunale Mesocco,10968012345,H6,5.856,2.717288,0.0,2.3,10.873288
252,21,Azienda Elettrica Comunale Mesocco,10968012345,H7,6.60923076923077,3.4688,0.0,2.3,12.3780307692308
253,21,Azienda Elettrica Comunale Mesocco,10968012345,H8,7.76,4.43589333333333,0.0,2.3,14.4958933333333
254,21,Azienda Elettrica Comunale Mesocco,10968012345,C1,9.54,7.149875,0.0,2.3,18.989875
255,21,Azienda Elettrica Comunale Mesocco,10968012345,C2,6.24,7.08003333333333,0.0,2.3,15.6200333333333
